Country,Country Code,Region,GDP_1995,GDP_2022,POP_1995,POP_2022
Tajikistan,TJK,Europe & Central Asia,2694139926,13499137004,5916173,9952787
Tanzania,TZA,Sub-Saharan Africa,15015530826,67103870637,30560071,65497748
Thailand,THA,East Asia & Pacific,2.14E+11,4.50E+11,59424834,71697030
Timor-Leste,TLS,East Asia & Pacific,..,2246291038,819226,1341296
Togo,TGO,Sub-Saharan Africa,2735463878,7895298291,4279566,8848699
Tonga,TON,East Asia & Pacific,325680032.8,..,99977,106858
Trinidad and Tobago,TTO,Latin America & Caribbean,9230266596,22169930660,1307822,1531044
Tunisia,TUN,Middle East & North Africa,21277892826,48156189721,9294102,12356117
Turkiye,TUR,Europe & Central Asia,3.38E+11,1.19E+12,59305490,85341241
Turkmenistan,TKM,Europe & Central Asia,8306729733,..,4226623,6430770
Turks and Caicos Islands,TCA,Latin America & Caribbean,..,870031424.9,15101,45703
Tuvalu,TUV,East Asia & Pacific,25046350.18,45116842.5,9585,11312
Uganda,UGA,Sub-Saharan Africa,9118233746,44173434643,20680831,47249585
Ukraine,UKR,Europe & Central Asia,77156390464,71962895909,51512800,38000000
United Arab Emirates,ARE,Middle East & North Africa,1.48E+11,4.28E+11,2433988,9441129
United Kingdom,GBR,Europe & Central Asia,1.96E+12,3.16E+12,58019030,66971411
United States,USA,North America,1.11E+13,2.10E+13,266278000,333287557
Uruguay,URY,Latin America & Caribbean,31329540363,62345534721,3208300,3422794
Uzbekistan,UZB,Europe & Central Asia,26042595588,1.24E+11,22785000,35648100
Vanuatu,VUT,East Asia & Pacific,454517015.8,841659633.9,170612,326740
"Venezuela, RB",VEN,Latin America & Caribbean,..,..,22107286,28301696
Vietnam,VNM,East Asia & Pacific,66835360716,3.59E+11,73759110,98186856
Virgin Islands (U.S.),VIR,Latin America & Caribbean,..,..,107818,105413
West Bank and Gaza,PSE,Middle East & North Africa,5417706300,15612500000,2474666,5043612
"Yemen, Rep.",YEM,Middle East & North Africa,32264866168,..,16103339,33696614
Zambia,ZMB,Sub-Saharan Africa,6747775257,25658238119,8684135,20017675
Zimbabwe,ZWE,Sub-Saharan Africa,17699780559,21319876649,10994041,16320537
